"YEAR","AGE_GROUP","Sum(FINES)"
2008,"All ages",2639479
2009,"All ages",2576271
2010,"All ages",2518363
2011,"All ages",2856108
2012,"All ages",3004162
2013,"All ages",2907678
2014,"All ages",3669800
2015,"All ages",3797740
2016,"All ages",3265399
2017,"All ages",3691401
2018,"All ages",4279816
2019,"All ages",3696730
2020,"All ages",3773473
2021,"All ages",4867138
2022,"All ages",4551342
2023,"0-16",330
2023,"17-25",281273
2023,"26-39",729638
2023,"40-64",1091405
2023,"65 and over",302801
2023,"Unknown",1829501
